Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;07;Aide à l'insertion professionnelle;;;23.0;2;365276.0;365276.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;12;Pilotage, administration et encadrement pédagogique;;;23.0;2;24973620.0;24973620.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;143.0;Enseignement technique agricole;04;Mise en œuvre de l'enseignement agricole dans les territoires;;;63.0;6;1634165.0;1634165.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Enseignement scolaire;EC;214.0;Soutien de la politique de l'éducation nationale;03;Communication;;;22.0;2;3889442.0;3889442.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;230.0;Vie de l'élève;04;Action sociale;;;23.0;2;1784777.0;1784777.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;230.0;Vie de l'élève;05;Politique de l'internat et établissements à la charge de l'Etat;;;23.0;2;587288.0;587288.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Gestion des finances publiques;GA;156.0;Gestion fiscale et financière de l'État et du secteur public local;05;Gestion financière de l'État hors fiscalité;;;22.0;2;300662233.0;300662233.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;218.0;Conduite et pilotage des politiques économiques et financières;05;Prestations d'appui et support;;;64.0;6;291306.0;291306.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;218.0;Conduite et pilotage des politiques économiques et financières;08;Accompagnement du changement de l'action publique;;;23.0;2;10049.0;10049.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Gestion des finances publiques;GA;218.0;Conduite et pilotage des politiques économiques et financières;09;Action sociale ministérielle;;;51.0;5;1064718.0;1064718.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
