ANNEE;SEXE;AGEQ;POPACTBIT;TACTBIT
1991;F;T1524;1574;37.5
1991;F;T1564;11097;58.3
1991;F;T20;1338;63.4
1991;F;T25;1707;77.3
1991;F;T2549;7791;75.9
1991;F;T30;1644;76.0
1991;F;T35;1668;76.0
1991;F;T40;1689;77.8
1991;F;T45;1083;70.7
1991;F;T50;886;61.7
1991;F;T5064;1731;38.0
1991;F;T55;648;41.8
1991;F;T5564;845;27.1
1991;F;T60;197;12.5
1991;F;T65;43;2.9
1991;F;T70;20;0.6
1991;E;T;25330;55.6
1991;E;T15;635;14.9
1991;E;T1524;3472;41.0
1991;E;T1564;25153;66.7
1991;E;T20;2837;67.5
1991;E;T25;3740;85.6
1991;E;T2549;17589;86.0
1991;E;T30;3700;86.2
1991;E;T35;3796;86.6
1991;E;T40;3798;87.3
1991;E;T45;2555;83.4
1991;E;T50;2139;74.7
1991;E;T5064;4093;46.4
1991;E;T55;1549;51.8
1991;E;T5564;1954;32.8
1991;E;T60;406;13.7
1991;E;T65;122;4.5
1991;E;T70;55;1.1
1992;H;T;14217;64.7
1992;H;T15;358;17.2
1992;H;T1524;1853;44.3
1992;H;T1564;14100;75.2
1992;H;T20;1496;71.2
1992;H;T25;2035;94.0
1992;H;T2549;9930;95.8
