Annee;Academie.origine;Academie.recrutement;Groupe.CNU;MCF
2019;TOULOUSE;AIX-MARSEILLE;Lettres;
2019;VERSAILLES;AIX-MARSEILLE;Lettres;
2019;AIX-MARSEILLE;BESANCON;Lettres;
2019;AMIENS;BESANCON;Lettres;
2019;BESANCON;BESANCON;Lettres;
2019;BORDEAUX;BESANCON;Lettres;1
2019;CAEN;BESANCON;Lettres;
2019;CLERMONT-FERRAND;BESANCON;Lettres;
2019;CORSE;BESANCON;Lettres;
2019;CRETEIL;BESANCON;Lettres;
2019;DIJON;BESANCON;Lettres;
2019;GRENOBLE;BESANCON;Lettres;
2019;GUADELOUPE;BESANCON;Lettres;
2019;LILLE;BESANCON;Lettres;
2019;LYON;BESANCON;Lettres;
2019;MONTPELLIER;BESANCON;Lettres;
2019;NANCY-METZ;BESANCON;Lettres;
2019;NANTES;BESANCON;Lettres;
2019;NICE;BESANCON;Lettres;
2019;ORLEANS-TOURS;BESANCON;Lettres;
2019;PARIS;BESANCON;Lettres;
2019;POITIERS;BESANCON;Lettres;
2019;REIMS;BESANCON;Lettres;
2019;RENNES;BESANCON;Lettres;
2019;ROUEN;BESANCON;Lettres;
2019;STRASBOURG;BESANCON;Lettres;
2019;TOULOUSE;BESANCON;Lettres;
2019;VERSAILLES;BESANCON;Lettres;
2019;AIX-MARSEILLE;BORDEAUX;Lettres;
2019;AMIENS;BORDEAUX;Lettres;
2019;BESANCON;BORDEAUX;Lettres;
2019;BORDEAUX;BORDEAUX;Lettres;
2019;CAEN;BORDEAUX;Lettres;
2019;CLERMONT-FERRAND;BORDEAUX;Lettres;
2019;CORSE;BORDEAUX;Lettres;
2019;CRETEIL;BORDEAUX;Lettres;
2019;DIJON;BORDEAUX;Lettres;
2019;GRENOBLE;BORDEAUX;Lettres;
2019;GUADELOUPE;BORDEAUX;Lettres;
2019;LILLE;BORDEAUX;Lettres;1
2019;LYON;BORDEAUX;Lettres;
2019;MONTPELLIER;BORDEAUX;Lettres;
2019;NANCY-METZ;BORDEAUX;Lettres;
2019;NANTES;BORDEAUX;Lettres;
2019;NICE;BORDEAUX;Lettres;
2019;ORLEANS-TOURS;BORDEAUX;Lettres;
2019;PARIS;BORDEAUX;Lettres;
2019;POITIERS;BORDEAUX;Lettres;
2019;REIMS;BORDEAUX;Lettres;
2019;RENNES;BORDEAUX;Lettres;
2019;ROUEN;BORDEAUX;Lettres;
2019;STRASBOURG;BORDEAUX;Lettres;
2019;TOULOUSE;BORDEAUX;Lettres;
2019;VERSAILLES;BORDEAUX;Lettres;
2019;AIX-MARSEILLE;CAEN;Lettres;
2019;AMIENS;CAEN;Lettres;
2019;BESANCON;CAEN;Lettres;
2019;BORDEAUX;CAEN;Lettres;
2019;CAEN;CAEN;Lettres;
2019;CLERMONT-FERRAND;CAEN;Lettres;
2019;CORSE;CAEN;Lettres;
2019;CRETEIL;CAEN;Lettres;
2019;DIJON;CAEN;Lettres;
2019;GRENOBLE;CAEN;Lettres;
2019;GUADELOUPE;CAEN;Lettres;
2019;LILLE;CAEN;Lettres;
2019;LYON;CAEN;Lettres;
2019;MONTPELLIER;CAEN;Lettres;
2019;NANCY-METZ;CAEN;Lettres;
2019;NANTES;CAEN;Lettres;
2019;NICE;CAEN;Lettres;
2019;ORLEANS-TOURS;CAEN;Lettres;
2019;PARIS;CAEN;Lettres;
2019;POITIERS;CAEN;Lettres;
2019;REIMS;CAEN;Lettres;
2019;RENNES;CAEN;Lettres;1
2019;ROUEN;CAEN;Lettres;
2019;STRASBOURG;CAEN;Lettres;
2019;TOULOUSE;CAEN;Lettres;
2019;VERSAILLES;CAEN;Lettres;
2019;AIX-MARSEILLE;CRETEIL;Lettres;
2019;AMIENS;CRETEIL;Lettres;
2019;BESANCON;CRETEIL;Lettres;
2019;BORDEAUX;CRETEIL;Lettres;1
2019;CAEN;CRETEIL;Lettres;
2019;CLERMONT-FERRAND;CRETEIL;Lettres;
2019;CORSE;CRETEIL;Lettres;
2019;CRETEIL;CRETEIL;Lettres;
2019;DIJON;CRETEIL;Lettres;1
2019;GRENOBLE;CRETEIL;Lettres;
2019;GUADELOUPE;CRETEIL;Lettres;
2019;LILLE;CRETEIL;Lettres;
2019;LYON;CRETEIL;Lettres;2
2019;MONTPELLIER;CRETEIL;Lettres;
2019;NANCY-METZ;CRETEIL;Lettres;
2019;NANTES;CRETEIL;Lettres;
2019;NICE;CRETEIL;Lettres;
2019;ORLEANS-TOURS;CRETEIL;Lettres;
2019;PARIS;CRETEIL;Lettres;
2019;POITIERS;CRETEIL;Lettres;
2019;REIMS;CRETEIL;Lettres;
2019;RENNES;CRETEIL;Lettres;
2019;ROUEN;CRETEIL;Lettres;
2019;STRASBOURG;CRETEIL;Lettres;
2019;TOULOUSE;CRETEIL;Lettres;
2019;VERSAILLES;CRETEIL;Lettres;
2019;AIX-MARSEILLE;GRENOBLE;Lettres;
2019;AMIENS;GRENOBLE;Lettres;
2019;BESANCON;GRENOBLE;Lettres;
2019;BORDEAUX;GRENOBLE;Lettres;
2019;CAEN;GRENOBLE;Lettres;
2019;CLERMONT-FERRAND;GRENOBLE;Lettres;
2019;CORSE;GRENOBLE;Lettres;
2019;CRETEIL;GRENOBLE;Lettres;
2019;DIJON;GRENOBLE;Lettres;
2019;GRENOBLE;GRENOBLE;Lettres;
2019;GUADELOUPE;GRENOBLE;Lettres;
2019;LILLE;GRENOBLE;Lettres;
2019;LYON;GRENOBLE;Lettres;
2019;MONTPELLIER;GRENOBLE;Lettres;
2019;NANCY-METZ;GRENOBLE;Lettres;
2019;NANTES;GRENOBLE;Lettres;1
2019;NICE;GRENOBLE;Lettres;
2019;ORLEANS-TOURS;GRENOBLE;Lettres;
2019;PARIS;GRENOBLE;Lettres;
2019;POITIERS;GRENOBLE;Lettres;
2019;REIMS;GRENOBLE;Lettres;
2019;RENNES;GRENOBLE;Lettres;
2019;ROUEN;GRENOBLE;Lettres;
2019;STRASBOURG;GRENOBLE;Lettres;
2019;TOULOUSE;GRENOBLE;Lettres;1
2019;VERSAILLES;GRENOBLE;Lettres;
2019;AIX-MARSEILLE;LYON;Lettres;
2019;AMIENS;LYON;Lettres;1
2019;BESANCON;LYON;Lettres;
2019;BORDEAUX;LYON;Lettres;
2019;CAEN;LYON;Lettres;
2019;CLERMONT-FERRAND;LYON;Lettres;
2019;CORSE;LYON;Lettres;
2019;CRETEIL;LYON;Lettres;
2019;DIJON;LYON;Lettres;
2019;GRENOBLE;LYON;Lettres;
2019;GUADELOUPE;LYON;Lettres;
2019;LILLE;LYON;Lettres;
2019;LYON;LYON;Lettres;
2019;MONTPELLIER;LYON;Lettres;
2019;NANCY-METZ;LYON;Lettres;
2019;NANTES;LYON;Lettres;
2019;NICE;LYON;Lettres;
2019;ORLEANS-TOURS;LYON;Lettres;
2019;PARIS;LYON;Lettres;
2019;POITIERS;LYON;Lettres;
2019;REIMS;LYON;Lettres;
2019;RENNES;LYON;Lettres;
2019;ROUEN;LYON;Lettres;
2019;STRASBOURG;LYON;Lettres;
2019;TOULOUSE;LYON;Lettres;
2019;VERSAILLES;LYON;Lettres;
2019;AIX-MARSEILLE;MONTPELLIER;Lettres;
2019;AMIENS;MONTPELLIER;Lettres;
2019;BESANCON;MONTPELLIER;Lettres;
2019;BORDEAUX;MONTPELLIER;Lettres;
2019;CAEN;MONTPELLIER;Lettres;
2019;CLERMONT-FERRAND;MONTPELLIER;Lettres;
2019;CORSE;MONTPELLIER;Lettres;
2019;CRETEIL;MONTPELLIER;Lettres;
2019;DIJON;MONTPELLIER;Lettres;1
2019;GRENOBLE;MONTPELLIER;Lettres;
2019;GUADELOUPE;MONTPELLIER;Lettres;
2019;LILLE;MONTPELLIER;Lettres;
2019;LYON;MONTPELLIER;Lettres;
2019;MONTPELLIER;MONTPELLIER;Lettres;
2019;NANCY-METZ;MONTPELLIER;Lettres;
2019;NANTES;MONTPELLIER;Lettres;
