"siren";"siret";"Etablissement";"Secteur";"dataset"
"194409843";"19440984300019";"Université de Nantes";NA;"etab.20"
"195112966";"19511296600435";"Université de Reims Champagne-Ardenne";NA;"etab.20"
"195903380";"19590338000010";"École nationale supérieure des arts et industries textiles";NA;"etab.20"
"195958764";"19595876400027";"Institut d'études politiques de Lille";NA;"etab.20"
"196924377";"19692437700019";"Université Jean Moulin - Lyon 3";NA;"etab.20"
"197500028";"19750002800026";"Institut d'administration des entreprises de Paris";NA;"etab.20"
"197537426";"19753742600037";"École des hautes études en sciences sociales";NA;"etab.20"
"199115684";"19911568400011";"Institut polytechnique de Paris";NA;"etab.20"
"218000198";"21800019801438";"École supérieure d'art et de design d'Amiens";NA;"etab.20"
"326930062";"32693006200012";"Institut catholique de Lyon";NA;"etab.20"
"379103096";"37910309600044";"ECAM Rennes Louis de Broglie";NA;"etab.20"
"379364094";"37936409400019";"École centrale d'électronique";NA;"etab.20"
"381395680";"38139568000022";"ICN Business School";NA;"etab.20"
"388591638";"38859163800027";"École de biologie industrielle";NA;"etab.20"
"394331649";"39433164900019";"École supérieure d'ingénieurs des travaux de la construction de Paris";NA;"etab.20"
"400397063";"40039706300019";"École supérieure d'ingénieurs en électronique et électrotechnique d'Amiens";NA;"etab.20"
"402850226";"40285022600018";"École supérieure d'ingénieurs Léonard-de-Vinci";NA;"etab.20"
"433695632";"43369563200029";"Institut polytechnique des sciences avancées";NA;"etab.20"
"443220223";"44322022300012";"École pour l'informatique et les techniques avancées";NA;"etab.20"
"479622953";"47962295300012";"Institut Sup'Biotech de Paris";NA;"etab.20"
"512837303";"51283730300035";"École d'ingénierie des sciences aérospatiales";NA;"etab.20"
"775722572";"77572257200812";"CESI";NA;"etab.20"
"775728470";"77572847000037";"Facultés Libres de Philosophie et de Psychologie";NA;"etab.20"
"783705841";"78370584100014";"Skema Business School";NA;"etab.20"
"783707011";"78370701100020";"École supérieure de journalisme de Lille";NA;"etab.20"
"783707060";"78370706000027";"École des hautes études commerciales du nord";NA;"etab.20"
"784280836";"7842808360003";"Institut de management et de communication interculturels";NA;"etab.20"
"786116715";"78611671500016";"École supérieure d'électronique de l'Ouest";NA;"etab.20"
"788374890";"78837489000010";"École de management de Normandie";NA;"etab.20"
"792237463";"79223746300015";"Neoma Business School";NA;"etab.20"
