"link";"reference";"jobLocation";"datePosted";"employmentType";"duration.months";"workHours";"baseSalary";"educationRequirements";"experienceRequirements"
"https://emploi.cnrs.fr/Offres/CDD/UMR7345-ERIROS-018/Default.aspx";"UMR7345-ERIROS-018";"MARSEILLE 13";"jeudi 26 novembre 2020";"CDD Scientifique";"12";"Temps complet";"Entre 2728,26 € et 3881,29 €  bruts mensuel selon experience";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/MOY400-NATSEN-059/Default.aspx";"MOY400-NATSEN-059";"GIF SUR YVETTE";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"entre 1988€ et 2348€ bruts mensuel selon expérience";"Bac+2";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5305-CLAMON-002/Default.aspx";"UMR5305-CLAMON-002";"LYON 07";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"entre 1600 et 1800 bruts mensuels selon expérience";"Bac / Bac pro";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UPR9002-MICRYC-004/Default.aspx";"UPR9002-MICRYC-004";"STRASBOURG";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"24";"Temps complet";"à partir de 2461,99 euros but mensuels selon expérience";"Doctorat";"5 à 10 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR5253-NICLOU-003/Default.aspx";"UMR5253-NICLOU-003";"MONTPELLIER";"vendredi 27 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"entre 1913 et 2031€ bruts mensuels selon expérience";"Bac+3";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR7588-EMMLHU-006/Default.aspx";"UMR7588-EMMLHU-006";"PARIS 05";"vendredi 27 novembre 2020";"CDD Scientifique";"12";"Temps complet";"Entre 2500 et 3500 Euros bruts mensuels selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR7592-ISALAD-027/Default.aspx";"UMR7592-ISALAD-027";"PARIS 13";"vendredi 27 novembre 2020";"CDD Technique/Administratif";"22";"Temps complet";"entre 2 151 et 2 422 € bruts mensuels selon expérience";"Bac+5";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR8003-GILDEW0-002/Default.aspx";"UMR8003-GILDEW0-002";"PARIS 06";"vendredi 27 novembre 2020";"CDD Technique/Administratif";"6";"Temps complet";"2151€ bruts";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR6303-VINVIG-002/Default.aspx";"UMR6303-VINVIG-002";"DIJON";"vendredi 27 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"1600 - 2000 euros";"Bac+3";"5 à 10 années"
"https://emploi.cnrs.fr/Offres/CDD/UPR8011-ERIDUJ-001/Default.aspx";"UPR8011-ERIDUJ-001";"TOULOUSE";"vendredi 27 novembre 2020";"CDD Scientifique";"12";"Temps complet";"Entre 2648 et 3054€ bruts mensuels selon expérience";"Doctorat";"Indifférent"
